period,momentum_horizon,bucket,count,mean,median,std
2010-2020 development,10,1,552.0,-0.039106884057972635,0.027300000000004238,3.2439544851397812
2010-2020 development,10,2,551.0,0.38244900181488056,0.5457999999999977,3.1127375883549995
2010-2020 development,10,3,552.0,0.47247463768115816,0.28410000000000224,3.055565892204919
2010-2020 development,10,4,551.0,0.46772341197822026,0.47059999999999974,3.015789424143894
2010-2020 development,10,5,552.0,0.032589492753621996,0.09910000000000105,3.6801844609481833
2021-2025 validation,10,1,308.0,2.647491558441558,0.6548000000000034,9.10688213515701
2021-2025 validation,10,2,178.0,1.3530584269662906,1.0805999999999902,5.116433765879784
2021-2025 validation,10,3,187.0,1.374829946524063,1.164999999999987,5.1082502125842675
2021-2025 validation,10,4,178.0,1.3314157303370784,1.2902000000000085,4.5200057672304315
2021-2025 validation,10,5,392.0,0.6181607142857166,0.2175000000000005,9.547391934892625
2010-2020 development,20,1,550.0,0.2974050909090903,0.26819999999999244,3.223649938030073
2010-2020 development,20,2,549.0,0.30546630236794,0.43159999999999626,2.6751886170716714
2010-2020 development,20,3,550.0,0.10868436363636182,0.23570000000000613,3.2151610517088214
2010-2020 development,20,4,549.0,0.44911766848815954,0.3550000000000079,3.2074876199357782
2010-2020 development,20,5,550.0,0.1757327272727254,0.19969999999999832,3.7883936778556926
2021-2025 validation,20,1,320.0,2.5445574999999994,0.7507000000000021,8.620823312932249
2021-2025 validation,20,2,159.0,1.0877584905660367,1.3081999999999927,4.85352222362565
2021-2025 validation,20,3,167.0,1.7845005988023939,1.5479999999999952,5.599741361620895
2021-2025 validation,20,4,204.0,1.779090196078431,1.0150000000000126,5.177662640061407
2021-2025 validation,20,5,393.0,0.36773027989822094,-0.3226000000000059,9.575281319559139
2010-2020 development,40,1,546.0,0.6960271062271057,0.9751999999999948,3.0912523967956913
2010-2020 development,40,2,545.0,-0.21835559633027674,0.07140000000000925,3.0861382864270928
2010-2020 development,40,3,546.0,0.021515750915748887,-0.1606999999999991,2.79771046352783
2010-2020 development,40,4,545.0,0.7035985321100907,0.8043999999999994,3.5761485360523815
2010-2020 development,40,5,546.0,0.15425274725274538,-0.032099999999998505,3.5466373858511724
2021-2025 validation,40,1,275.0,0.48215345454545305,0.5138000000000037,5.527845413441473
2021-2025 validation,40,2,143.0,0.5604545454545458,1.5059999999999876,4.770518838950169
2021-2025 validation,40,3,192.0,1.4049958333333306,1.1326000000000045,4.58852640525368
2021-2025 validation,40,4,214.0,1.5797158878504665,1.0115000000000034,5.7433003655437
2021-2025 validation,40,5,419.0,2.3200964200477356,-0.04399999999999116,11.108387954212928
