start_month,end_month,period,annualized_return,annualized_volatility,sharpe,maximum_drawdown,trade_count
6,10,2010-2020 development,0.023037352023121346,0.057649979920193856,0.399607286160593,-0.08444569487915798,11
6,10,2021-2025 validation,0.04744240190023754,0.06367314187981793,0.7450928366277941,-0.09895205864981271,5
6,10,2010-2025 full,0.030683985115355965,0.05959898587800182,0.5148407252795475,-0.08444569487915798,16
7,9,2010-2020 development,0.02202348901734108,0.045059401671710984,0.4887656781995794,-0.06825290679585483,11
7,9,2021-2025 validation,0.02093706983372929,0.04773012849320704,0.4386552162060292,-0.10667496542045773,5
7,9,2010-2025 full,0.021683090250558226,0.04590697807608599,0.472326673618568,-0.08864780280617657,16
7,10,2010-2020 development,0.029548347398843947,0.050870373072351906,0.5808557243489826,-0.07662642922078644,11
7,10,2021-2025 validation,0.032727477434679415,0.05416614328219619,0.6042054215337974,-0.1082579535432846,5
7,10,2010-2025 full,0.030544438005457735,0.05191884928576046,0.5883111514537172,-0.0853186548999989,16
8,10,2010-2020 development,0.021029327167630063,0.044800012802658766,0.4694044901340302,-0.07600993590421667,11
8,10,2021-2025 validation,0.01936848456057011,0.04613690348347171,0.4198046053851179,-0.09771011996656254,5
8,10,2010-2025 full,0.020508949044902025,0.04521743181080545,0.45356288987648946,-0.081079754774813,16
7,11,2010-2020 development,0.025636994219653216,0.0571139144338794,0.44887475274231264,-0.08833182708494391,11
7,11,2021-2025 validation,0.03112828503562953,0.0629793921855211,0.49426143942344836,-0.10933183449366646,5
7,11,2010-2025 full,0.027357535102952166,0.059006786149754756,0.46363370873175186,-0.08846958485756762,16
