period,month,count,mean,std,t_stat_across_years
2010-2020 development,1,11,-0.10214545454545952,4.4579741157534,-0.07599374468560323
2010-2020 development,2,11,1.5779454545454512,4.86165609815496,1.0764753628625034
2010-2020 development,3,11,-0.774381818181822,3.4647684164510024,-0.7412714579097581
2010-2020 development,4,11,0.2538545454545443,2.108860549379041,0.39923942758891984
2010-2020 development,5,11,-0.37167272727272826,3.9725740121716835,-0.31030233229005433
2010-2020 development,6,11,-0.43463636363636804,2.687312809210253,-0.5364190329781288
2010-2020 development,7,11,1.3461454545454543,2.3891215558709535,1.8687451774893478
2010-2020 development,8,11,1.9300545454545477,3.229845348732239,1.9819112251629214
2010-2020 development,9,11,-0.2581818181818157,2.94819021293341,-0.29044673401477755
2010-2020 development,10,11,0.9543272727272698,3.040997758989934,1.0408246706142998
2010-2020 development,11,11,-0.6778727272727262,3.8671912238964654,-0.5813649653748646
2010-2020 development,12,11,-0.4472727272727294,3.1664669362211546,-0.46848296388432487
2021-2025 validation,1,5,3.0897200000000025,3.6908482618498457,1.8718797038754358
2021-2025 validation,2,5,-2.071919999999994,5.930097077788874,-0.7812610659097031
2021-2025 validation,3,5,0.794359999999988,7.975687559577542,0.2227071892345781
2021-2025 validation,4,5,4.69212,15.489570931178175,0.6773524796266435
2021-2025 validation,5,5,-0.7873199999999988,4.020143996426003,-0.4379198958072786
2021-2025 validation,6,5,3.3415999999999997,4.355713822096218,1.7154581450480422
2021-2025 validation,7,5,1.4228400000000054,6.506999501152591,0.48894532119485473
2021-2025 validation,8,5,3.101919999999995,7.057844962309683,0.982750969709073
2021-2025 validation,9,5,0.20776000000001077,4.162274559420606,0.11161336821328013
2021-2025 validation,10,5,6.0539999999999985,12.731869803764083,1.0632496046874091
2021-2025 validation,11,5,-0.9071200000000047,1.7448903037153967,-1.1624696288532201
2021-2025 validation,12,5,-1.5101200000000006,3.100239063685246,-1.0891840612343204
