episode,entry_date,exit_date,direction,gross_pnl,costs,net_pnl
1.0,2010-07-01,2010-10-29,1,25255.799999999934,1920.0,23335.799999999934
2.0,2011-07-01,2011-10-31,1,32826.99999999994,998.4,31828.59999999994
3.0,2012-07-02,2012-10-31,1,119101.60000000002,1612.8,117488.80000000002
4.0,2013-07-01,2013-10-31,1,17082.600000000355,1766.3999999999999,15316.200000000355
5.0,2014-07-01,2014-10-31,1,17076.199999999917,1459.2,15616.999999999916
6.0,2015-07-01,2015-10-30,1,-39145.200000000186,1958.4,-41103.60000000019
7.0,2016-07-01,2016-10-31,1,12435.999999999969,1920.0,10515.999999999969
8.0,2017-07-03,2017-10-31,1,90063.00000000001,1804.8,88258.20000000001
9.0,2018-07-02,2018-10-31,1,73952.20000000023,1766.3999999999999,72185.80000000024
10.0,2019-07-01,2019-10-31,1,15765.999999999924,1920.0,13845.999999999924
11.0,2020-07-01,2020-10-30,1,-20998.000000000007,1728.0,-22726.000000000007
12.0,2021-07-01,2021-10-29,1,37628.20000000019,1920.0,35708.20000000019
13.0,2022-07-01,2022-10-31,1,45222.199999999975,230.4,44991.799999999974
14.0,2023-07-03,2023-10-31,1,90072.20000000014,806.4,89265.80000000015
15.0,2024-07-01,2024-10-31,1,-57359.1999999998,1612.8,-58971.9999999998
16.0,2025-07-01,2025-10-31,1,54108.39999999995,1075.1999999999998,53033.19999999995
