year,gross_pnl,costs,net_pnl,maximum_drawdown
2010,25255.799999999934,1920.0,23335.799999999934,-0.025963173163300213
2011,32826.99999999994,998.4,31828.599999999937,-0.033361236211163936
2012,119101.60000000002,1612.7999999999997,117488.80000000002,-0.029861363682029518
2013,17082.600000000355,1766.3999999999999,15316.200000000359,-0.04579016678473591
2014,17076.199999999917,1459.2,15616.99999999992,-0.04901765970714056
2015,-39145.200000000186,1958.4,-41103.60000000019,-0.07302131838338777
2016,12435.999999999969,1920.0,10515.999999999969,-0.07662642922078644
2017,90063.00000000001,1804.8,88258.20000000003,-0.05411666558056327
2018,73952.20000000023,1766.3999999999999,72185.80000000024,-0.02447480750309916
2019,15765.999999999924,1920.0,13845.999999999924,-0.027592982781384556
2020,-20998.000000000007,1728.0,-22726.000000000007,-0.05948196434363395
2021,37628.20000000019,1920.0,35708.20000000019,-0.04389751255656171
2022,45222.199999999975,230.4,44991.799999999974,-0.0465843663987795
2023,90072.20000000014,806.4,89265.80000000013,-0.033606739001196595
2024,-57359.1999999998,1612.8,-58971.9999999998,-0.0853186548999989
2025,54108.39999999995,1075.1999999999998,53033.199999999946,-0.06664261522007386
